"" "" "DR"
"1" -71.8891236455415 -51.1198511127289 0.332934559637064
"2" -70.955894470215 -51.1097078295031 0.351531713429349
"3" -72.9441018555793 -50.0995105917095 0.332934559637064
"4" -71.9558496388632 -50.1096886974102 0.332934559637064
"5" -70.955894470215 -50.1097078292609 0.257373153132067
"6" -69.955894470215 -50.1097078292609 0.269084252775895
"7" -70.953418797271 -51.8047918413585 0.341823069708538
"8" -69.9221497782766 -51.8296550306822 0.335577271950705
"9" -69.0387261281353 -51.9680891828832 0.356148841379985
"10" -69.955894470215 -51.1097078295031 0.357955880136352
"11" -69.2662425473787 -51.1481659635436 0.263997090276002
"12" -68.1173827111433 -49.8330615708616 0.293770044063775
"13" -72.8846367539794 -49.2747595024778 0.294572348377022
"14" -71.9251773370441 -48.1078235754546 0.294572348377022
"15" -70.955894470215 -48.1097078287065 0.302195579025983
"16" -71.7572629572433 -47.2097764183423 0.277557033608712
"17" -70.955894470215 -47.1097078283931 0.287481351448135
"18" -69.0160768046287 -50.0381349562752 0.28879317376142
"19" -71.955894470215 -49.1097078289956 0.294572348377022
"20" -70.955894470215 -49.1097078289956 0.258009342551097
"21" -69.955894470215 -49.1097078289956 0.266375717845676
"22" -68.955894470215 -49.1097078289956 0.266375717845676
"23" -68.0047646126928 -49.0826374444435 0.26487834884394
"24" -69.955894470215 -48.1097078287065 0.265725826591332
"25" -68.955894470215 -48.1097078287065 0.266375717845676
"26" -67.955894470215 -48.1097078287065 0.26487834884394
"27" -66.9761860262902 -48.0832257076368 0.30613225597929
"28" -66.1849141952553 -47.9020672853741 0.30613225597929
"29" -68.955894470215 -47.1097078283932 0.265725826591332
"30" -67.955894470215 -47.1097078283931 0.286818308121708
"31" -67.0191407653006 -47.2101975716785 0.30613225597929
"32" -66.1070147627958 -47.3529779265979 0.30613225597929
"33" -69.955894470215 -47.1097078283932 0.265725826591332
"34" -70.955894470215 -46.1097078280554 0.298385026754377
"35" -69.955894470215 -46.1097078280553 0.265725826591332
"36" -68.955894470215 -46.1097078280554 0.265725826591332
"37" -67.9893923394485 -46.1054868726053 0.30613225597929
"38" -69.955894470215 -45.1097078276933 0.265725826591332
"39" -68.955894470215 -45.1097078276933 0.265725826591332
"40" -67.955894470215 -45.1097078276933 0.298747959826954
"41" -67.0165899299576 -44.9969198862058 0.30613225597929
"42" -68.955894470215 -44.1097078273074 0.282074861331235
"43" -66.0459622092692 -44.8211043176764 0.3375108573076
"44" -70.9260883059758 -45.1237004708209 0.294243937339849
"45" -71.7232908113715 -43.0394297167635 0.298385026754377
"46" -71.7099271332767 -42.1898390261024 0.298385026754377
"47" -70.955894470215 -42.109707826468 0.294243937339849
"48" -70.9330482520034 -44.0841119578996 0.294243937339849
"49" -69.955894470215 -44.1097078273074 0.282074861331235
"50" -70.955894470215 -43.1097078268986 0.294243937339849
"51" -69.955894470215 -43.1097078268985 0.321825682262576
"52" -68.955894470215 -43.1097078268986 0.282074861331235
"53" -67.955894470215 -43.1097078268986 0.348139638117846
"54" -69.955894470215 -42.109707826468 0.309524879527612
"55" -68.955894470215 -42.109707826468 0.282074861331235
"56" -67.955894470215 -42.109707826468 0.348139638117846
"57" -66.955894470215 -42.109707826468 0.368518739688766
"58" -71.6629351761424 -41.101007782543 0.298385026754377
"59" -70.955894470215 -41.1097078260172 0.342778430262423
"60" -69.955894470215 -41.1097078260172 0.361082422516986
"61" -70.955894470215 -40.1097078255481 0.342778430262423
"62" -69.955894470215 -40.1097078255481 0.361082422516986
"63" -68.955894470215 -40.1097078255481 0.348139638117846
"64" -67.955894470215 -40.1097078255481 0.383025956451648
"65" -69.955894470215 -39.1097078250632 0.361082422516986
"66" -68.955894470215 -39.1097078250633 0.367876021778352
"67" -67.955894470215 -39.1097078250632 0.401219855384531
"68" -68.955894470215 -41.1097078260172 0.282074861331235
"69" -67.955894470215 -41.1097078260172 0.348139638117846
"70" -66.955894470215 -41.1097078260172 0.368518739688766
"71" -65.955894470215 -41.1097078260172 0.386300783126014
"72" -66.955894470215 -40.1097078255481 0.386300783126014
"73" -65.955894470215 -40.1097078255481 0.44729573093584
"74" -64.955894470215 -40.1097078255481 0.53689726542843
"75" -65.955894470215 -39.1097078250633 0.505804534809369
"76" -64.955894470215 -39.1097078250633 0.543961364839901
"77" -63.955894470215 -39.1097078250633 0.514027318816617
"78" -70.9095853724265 -39.158996043338 0.342778430262423
"79" -70.7614429253117 -38.0630429132548 0.342778430262423
"80" -69.955894470215 -38.1097078245652 0.361082422516986
"81" -66.955894470215 -39.1097078250633 0.505804534809369
"82" -68.955894470215 -38.1097078245652 0.367876021778352
"83" -67.955894470215 -38.1097078245652 0.401219855384531
"84" -66.955894470215 -38.1097078245652 0.505804534809369
"85" -65.955894470215 -38.1097078245652 0.543770106169004
"86" -67.955894470215 -37.1097078240572 0.450513484147797
"87" -66.955894470215 -37.1097078240573 0.497557439940995
"88" -65.955894470215 -37.1097078240573 0.554275839931089
"89" -66.955894470215 -36.1097078235428 0.490821389877121
"90" -65.955894470215 -36.1097078235428 0.493059830333834
"91" -70.7979008752567 -37.1180136140328 0.342778430262423
"92" -69.955894470215 -37.1097078240572 0.361082422516986
"93" -68.955894470215 -37.1097078240572 0.367876021778352
"94" -69.936810812347 -36.1196426928854 0.377308899277392
"95" -68.955894470215 -36.1097078235428 0.46931268951197
"96" -67.955894470215 -36.1097078235428 0.450513484147797
"97" -69.9115219991149 -35.1295526862414 0.465737691964429
"98" -68.955894470215 -35.1097078230257 0.46931268951197
"99" -67.955894470215 -35.1097078230257 0.450513484147797
"100" -69.7095866712786 -34.1630136262802 0.411869000913837
"101" -69.7391496825797 -33.0479881292643 0.361602693676046
"102" -68.955894470215 -33.1097078220003 0.445196656371659
"103" -69.8851282864029 -32.077949419095 0.433261704152059
"104" -67.986375958009 -54.1460023012679 0.399206502808017
"105" -66.9064386946271 -54.7843422698894 0.399206502808017
"106" -66.0028526615199 -54.7957806663504 0.399206502808017
"107" -67.043460881694 -54.3846133096571 0.399206502808017
"108" -67.955894470215 -44.1097078273074 0.282074861331235
"109" -66.955894470215 -44.1097078273074 0.327547209478705
"110" -65.9560496306227 -44.1094962837551 0.3375108573076
"111" -66.955894470215 -43.1097078268986 0.40414657770886
"112" -65.955894470215 -43.1097078268986 0.472297606083384
"113" -65.1213276319873 -43.0546604457252 0.472297606083384
"114" -65.955894470215 -42.109707826468 0.386300783126014
"115" -65.1136225733809 -42.1945524797095 0.472297606083384
"116" -65.1310008904311 -41.0176005813713 0.505804534809369
"117" -63.9021596802938 -40.850083331221 0.505804534809369
"118" -62.9997650027314 -40.8540527112341 0.543961364839901
"119" -63.955894470215 -40.1097078255481 0.543961364839901
"120" -62.9563764860083 -40.1092611132715 0.543961364839901
"121" -62.955894470215 -39.1097078250632 0.511825861685535
"122" -58.9615909293411 -38.1024901044169 0.458696887783446
"123" -58.0244606449682 -37.9796619980826 0.458696887783446
"124" -62.0355619365316 -38.9751901014526 0.511825861685535
"125" -60.9717032588164 -38.7923395505024 0.530538208894562
"126" -61.955894470215 -38.1097078245652 0.495825063182064
"127" -60.955894470215 -38.1097078245652 0.530538208894562
"128" -59.955894470215 -38.1097078245652 0.458696887783446
"129" -60.955894470215 -37.1097078240573 0.530538208894562
"130" -59.955894470215 -37.1097078240573 0.472851601641866
"131" -58.955894470215 -37.1097078240573 0.458696887783446
"132" -59.955894470215 -36.1097078235428 0.472851601641866
